1,1,1
1,2,1
2,1,1
2,4,1
2,4,2
2,4,3
2,4,4
3,1,1
3,4,1
3,4,2
3,4,3
3,4,4
4,1,1
4,4,1
4,4,2
4,4,3
4,4,4
5,1,1
5,4,1
6,1,1
6,4,1
6,4,2
6,4,3
6,4,4
7,3,1
7,3,2
7,4,3
7,4,4
8,3,1
9,3,1
10,3,1
11,2,1
12,2,1
12,3,1
13,2,1
13,3,1
14,1,1
14,4,1
15,1,1
15,4,1
15,4,2
15,4,3
15,4,4
16,1,1
16,4,1
17,1,1
17,4,1
17,4,2
17,4,3
17,4,4
18,2,1
18,3,1
19,1,1
19,4,1
19,4,2
19,4,3
19,4,4
20,2,1
20,3,1
21,1,1
22,1,1
23,1,1
23,4,1
23,4,2
23,4,3
23,4,4
24,1,1
24,4,1
24,4,2
24,4,3
24,4,4
25,1,1
26,1,1
26,4,1
27,1,1
28,3,1
28,4,2
28,4,3
28,4,4
29,3,1
30,1,1
30,4,1
31,3,1
32,1,1
33,2,1
33,3,1
34,1,1
35,3,1
36,3,1
37,1,1
38,1,1
39,1,1
40,1,1
40,4,1
40,4,2
40,4,3
40,4,4
41,1,1
41,4,1
41,4,2
41,4,3
41,4,4
42,1,1
42,4,1
42,4,2
42,4,3
42,4,4
43,1,1
43,4,1
43,4,2
43,4,3
43,4,4
44,1,1
44,4,1
45,1,1
45,4,1
45,4,2
45,4,3
45,4,4
46,1,1
46,4,1
46,4,2
46,4,3
46,4,4
47,1,1
47,4,1
47,4,2
47,4,3
47,4,4
48,3,1
49,1,1
50,3,1
51,3,1
52,3,1
53,1,1
53,4,1
54,1,1
54,4,1
55,1,1
55,4,1
55,4,2
55,4,3
55,4,4
56,1,1
56,4,1
56,4,2
56,4,3
56,4,4
57,1,1
57,4,1
57,4,2
57,4,3
57,4,4
58,1,1
59,2,1
59,3,1
60,1,1
60,4,1
60,4,2
60,4,3
60,4,4
61,1,1
61,4,1
61,4,2
61,4,3
61,4,4
62,1,1
62,4,1
63,1,1
63,4,1
64,1,1
64,4,1
65,1,1
66,1,1
66,4,1
67,1,1
67,4,1
68,1,1
68,4,1
68,4,2
68,4,3
68,4,4
69,1,1
69,4,1
69,4,2
69,4,3
69,4,4
70,1,1
70,4,1
70,4,2
70,4,3
70,4,4
